,,,,,,,,,,,,,,,,,,,,,,
L1,,,,L2,,,,L3,,,,L4,,,,L5,,,,L6,,
G,X,X,,G,X,X,,X,B,G,,X,G,X,,G,X,X,,X,G,X
B,G,X,,G,X,X,,X,G,X,,X,B,G,,G,B,X,,X,X,G
G,X,G,,B,G,X,,X,G,G,,X,G,X,,X,G,X,,X,B,G
X,G,X,,X,G,X,,X,G,X,,G,X,G,,G,X,G,,X,G,G
G,X,G,,G,X,G,,G,G,X,,G,X,G,,X,G,X,,X,G,G
X,G,X,,G,X,G,,G,X,X,,X,G,X,,G,X,G,,X,G,X
,,,,,,,,,,,,,,,,,,,,,,
L7,,,,L8,,,,L9,,,,L10,,,,L11,,,,L12,,
X,G,X,,X,B,G,,X,G,B,,G,B,G,,X,X,G,,X,X,G
G,G,X,,X,X,G,,G,X,X,,G,X,G,,X,G,B,,X,G,X
G,X,B,,X,G,X,,G,X,X,,X,G,X,,G,X,G,,G,B,G
X,G,X,,G,X,G,,G,X,X,,G,X,X,,G,X,G,,X,G,G
X,G,G,,X,G,X,,X,G,X,,G,X,X,,X,G,X,,G,X,X
X,X,G,,G,X,G,,G,G,G,,X,G,X,,X,G,X,,G,X,X
