,,🚫,9 Wrong path,,,❌,1 Beast path,,,🟢,8 Go path,,,Nmr,fastest path,,,Max: 18 tiles,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L1,,,,L2,,,,L3,,,,L4,,,,L5,,,,L6,,,,Wrong paths,,,
6,🟢,❌,❌,,🟢,❌,❌,,❌,🚫,🟢,,❌,🟢,❌,,🟢,❌,❌,,❌,🟢,❌,,0,0,0,0
5,🚫,🟢,❌,,🟢,❌,❌,,❌,🟢,❌,,❌,🚫,🟢,,🟢,🚫,❌,,❌,❌,🟢,,0,0,0,0
4,🟢,❌,🟢,,🚫,🟢,❌,,❌,🟢,🟢,,❌,🟢,❌,,❌,🟢,❌,,❌,🚫,🟢,,0,0,0,0
3,❌,🟢,❌,,❌,🟢,❌,,❌,🟢,❌,,🟢,❌,🟢,,🟢,❌,🟢,,❌,🟢,🟢,,0,0,0,0
2,🟢,❌,🟢,,🟢,❌,🟢,,🟢,🟢,❌,,🟢,❌,🟢,,❌,🟢,❌,,❌,🟢,🟢,,0,0,0,0
1,❌,🟢,❌,,🟢,❌,🟢,,🟢,❌,❌,,❌,🟢,❌,,🟢,❌,🟢,,❌,🟢,❌,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,L7,,,,L8,,,,L9,,,,L10,,,,L11,,,,L12,,,,,,,
6,❌,🟢,❌,,❌,🚫,🟢,,❌,🟢,🚫,,🟢,🚫,🟢,,❌,❌,🟢,,❌,❌,🟢,,,,,
5,🟢,🟢,❌,,❌,❌,🟢,,🟢,❌,❌,,🟢,❌,🟢,,❌,🟢,🚫,,❌,🟢,❌,,,,,
4,🟢,❌,🚫,,❌,🟢,❌,,🟢,❌,❌,,❌,🟢,❌,,🟢,❌,🟢,,🟢,🚫,🟢,,,,,
3,❌,🟢,❌,,🟢,❌,🟢,,🟢,❌,❌,,🟢,❌,❌,,🟢,❌,🟢,,❌,🟢,🟢,,,,,
2,❌,🟢,🟢,,❌,🟢,❌,,❌,🟢,❌,,🟢,❌,❌,,❌,🟢,❌,,🟢,❌,❌,,,,,
1,❌,❌,🟢,,🟢,❌,🟢,,🟢,🟢,🟢,,❌,🟢,❌,,❌,🟢,❌,,🟢,❌,❌,,,,,
